mission,en,de,fr,jp
224,A-3: Cosmic Suits II,A-3: Raumanzug II,A-3 : Amélioration de combinaisons cosmiques,A-3：続・スペーススーツの製作
225,A-3: Cosmic Suits III,A-3: Raumanzug III,A-3 : Perfectionnement de combinaisons cosmiques,A-3：スペーススーツの製作・最終工程
226,Multi-purpose Yarn,Baumwollgarn,Pelotes de fil multi-usage,汎用綿糸の製作
227,First-aid Cloth,Notfall-Stoff,Étoffes de première nécessité,救急用布地の製作
228,Gatherer's Helmets,Sammler-Kopfschutz,Protège-têtes pour la récolte,採集用頭防具の製作
229,Essential Research Materials,Forschungsmaterialien,Matériaux pour la recherche,研究用必須素材の調達
230,Multi-purpose String,Arbeiter-Stricke,Filins professionnels multi-usage,作業用汎用紐の製作
231,Divider Curtains,Unterteilungs-Vorhänge,Rideaux de partition,仕切り用カーテンの製作
232,Heat-resistant Yarn,Hitzebeständiges Baumwollgarn,Pelotes de fil thermorésistant,耐熱性綿糸の製作
233,Room Garments,Hauskleidung,Vêtements d'intérieur,室内用衣類の製作
234,Multi-purpose Fabric,Ersatz-Geschirrtücher,Serviettes multi-usage,汎用布巾の補充
235,Composite Fiber,Verbundfasern,Fibres composites,複合繊維の製作
236,Infirmary Curtains,Krankenstations-Vorhang,Rideaux médicaux,医療施設用カーテンの製作
237,Cosmoliner Materials,Kosmozapper-Rohmaterialien,Matériaux pour cosmo-navette,コスモライナー用基本素材の調達
238,New Material Trousers,Prototyp-Hosen,Pantalons en matière nouvelle,新素材を用いたトラウザー製作
239,Work Rope,Arbeiter-Seile,Corde de travail,作業用ロープの製作
240,Sterile Yarn,Antibakterielles Baumwollgarn,Pelotes de fil bactéricides,抗菌性綿糸の製作
241,High-grade Curtains,Hochwertige Vorhänge,Rideaux d'excellente qualité,高級カーテンの製作
242,Transport Yarn,Transport-Baumwolle,Étoffes pour le transport de ressources,資材運搬用綿布の製作
243,Heat-resistant Composite Fiber,Hochbelastbare Verbundfasern,Fibres composites résistantes,高耐久複合繊維の製作
244,Rest Supplies,Pausenraum-Vorräte,Accessoires de relaxation,休憩用グッズの製作
245,Test Material Hats,Experimentelle Hüte,Chapeaux en matériaux expérimentaux,試験素材を用いたハット製作
246,Rest Cushions,Pausenraum-Sitzkissen,Coussins de relaxation,休憩用のクッション製作
247,A-1: High-durability Yarn,A-1: Hochbelastbares Baumwollgarn,A-1 : Pelotes de fil résistant,A-1：高耐久綿糸の製作
248,A-1: High-grade Composite Fiber,A-1: Hochwertige Verbundfasern,A-1 : Fibres composites d'excellente qualité,A-1：高級複合繊維の製作
249,A-1: High-grade Bedroom Curtains,A-1: Hochwertige Schlafvorhänge,A-1 : Rideaux pour salle de repos d'excellente qualité,A-1：寝室用の高級カーテン製作
250,A-1: First-aid Bandaging,A-1: Notfall-Verbände,A-1 : Bandages de premiers secours,A-1：救急用の包帯製作
251,A-1: Lunar Flora Test Processing,A-1: Mondpflanzen-Inspektion,A-1 : Traitement expérimental de végétaux lunaires,A-1：月面植物の加工検証
252,A-2: Test Material Final Processing,A-2: Final-Inspektion für Prüfmaterialien,A-2 : Traitement final de matériaux d'essai,A-2：試験用素材の最終加工検証
253,A-2: Weaving Materials,A-2: Nähmaterialien,A-2 : Matériaux pour synthèse de fibres,A-2：裁縫用素材の製作
254,A-2: Rest Cushions,A-2: Pausen-Kissensets,A-2 : Ensemble de coussins de relaxation,A-2：休憩用クッションセットの製作
255,A-2: Familiar Furnishings,A-2: Heimatliche Einrichtung,A-2 : Décorations de sol typiques,A-2：郷土調度品の製作
256,A-3: Cold-weather Work Hats,A-3: Arbeiter-Wintermützen,A-3 : Chapeaux thermiques,A-3：作業用防寒帽の製作
257,A-3: Crafter's Overalls,A-3: Handwerker-Arbeitskleidung,A-3 : Habits d'artisanat,A-3：職人用作業着の製作
258,A-1: Cosmoliner Materials I,A-1: Kosmozapper-Materialien I,A-1 : Préparation de matériaux pour cosmo-navette,A-1：コスモライナー用素材の製作
259,A-2: Cosmoliner Materials II,A-2: Kosmozapper-Materialien II,A-2 : Amélioration de matériaux pour cosmo-navette,A-2：続・コスモライナー用素材の製作
260,A-1: Specialized Materials I,A-1: Verfeinerungsmaterialien I,A-1 : Préparation de matériaux de raffinement,A-1：性質特化素材の調達
261,A-2: Specialized Materials II,A-2: Verfeinerungsmaterialien II,A-2 : Amélioration de matériaux de raffinement,A-2：続・性質特化素材の調達
262,A-3: Large Research Materials,A-3: Forschungs-Großmaterialien,A-3 : Matériaux de grande taille pour la recherche,A-3：研究用大型素材の製作
263,A-2: Rest Facility Materials,A-2: Pausenraum-Materialien,A-2 : Matériaux pour articles de relaxation,A-2：休憩施設用素材の製作
264,A-3: Rest Facility Furnishings,A-3: Pausenraum-Einrichtung,A-3 : Articles de relaxation,A-3：休憩施設用調度品の製作
265,A-1: Packing Materials I,A-1: Verpackungsmaterialien I,A-1 : Préparation de matériaux pour conteneurs,A-1：貨物梱包素材の製作
266,A-2: Packing Materials II,A-2: Verpackungsmaterialien II,A-2 : Amélioration de matériaux pour conteneurs,A-2：続・貨物梱包素材の製作
267,A-3: Rover Packing Materials,A-3: Verpackungsmaterialien (Vehikel),A-3 : Conteneurs de fret pour rovers,A-3：ローバー用貨物梱包材の製作
268,A-3: Crew Suits I,A-3: Besatzungsuniformen I,A-3 : Préparation d'uniformes cosmiques,A-3：クルースーツの製作
269,A-3: Crew Suits II,A-3: Besatzungsuniformen II,A-3 : Amélioration d'uniformes cosmiques,A-3：続・クルースーツの製作
270,A-3: Crew Suits III,A-3: Besatzungsuniformen III,A-3 : Perfectionnement d'uniformes cosmiques,A-3：クルースーツの製作・最終工程
271,Foundation Bricks,Ziegelsteine,Briques multi-usage,汎用煉瓦の製作
272,Spice Processing,Gewürz-Verarbeitung,Traitement de condiments de produits récoltés,採集物の調味料加工
273,Building Adhesive,Baumaterial-Klebstoff,Mortier de construction,建材用接着剤の製作
274,Nutrient Supplements,Nahrungsergänzungsmittel,Ravitaillement en nourriture pour ouvriers,作業員の栄養補給
275,Aquatic Adhesive,Unterwasser-Klebstoff,Colle aqueuse,水産性接着剤の製作
276,Medicated Feed Research,Medizinforschung-Unterstützung,Recherche sur la médecine nutritive,薬餌製作研究の支援
277,Heat-resistant Bricks,Hitzebeständige Ziegelsteine,Briques thermorésistantes,耐熱性煉瓦の製作
278,Health Drinks,Gesunde Getränke,Boissons toniques,健康飲料の製作
279,Construction Paint,Baumaterial-Farbstoff,Peinture de construction,建材用塗料の製作
280,Traditional Veneer,Traditioneller Bodenbelag,Dallages traditionnels,伝統床材の製作
281,Night Lighting,Nachtbeleuchtung,Articles d'éclairage nocturne,夜間照明用調度品の製作
282,Emergency Foodstuffs Development,Notfall-Lebensmittel,Rations alimentaires d'urgence,非常用保存食品の開発
283,Experimental Potables,Zukunfts-Getränk,Boissons de nouvelle génération,次世代飲料の試験製作
284,Lunar Spice Processing,Mondgewürz-Verarbeitung,Traitement de condiments de végétaux séléniens,月面植物の調味料加工
285,Water-resistant Bricks,Wasserabweisende Ziegelsteine,Briques étanches,耐水性煉瓦の製作
286,Research Medicine,Forschungsmedikamente,Ravitaillement en médicaments expérimentaux,研究用薬品の追加補充
287,Holy Water,Heiliges Alchemisten-Wasser,Eau sacrée pour potions alchimiques,錬金薬用聖水の製作
288,Lunar Flooring,Mondgestein-Bodenbelag,Dallages de matériaux séléniens,月面素材を用いた床材製作
289,Stellar Nutrients,Hochwertige Nahrungsergänzungsmittel,Revitalisants d'excellente qualité,高品質栄養剤の製作
290,Miniature Gardens,Miniatur-Garten,Jardins de petite taille,小型庭園の製作
291,Decorative Lunar Plants,Dekorative Mondpflanzen,Plantes décoratives de végétaux séléniens,月面植物を用いた観葉植物製作
292,A-1: Water-resistant Bricks,A-1: Wasserabweisende Ziegelsteine,A-1 : Briques étanches,A-1：耐水性煉瓦の製作
293,A-1: Stellar Adhesive,A-1: Hochwertiger Klebstoff,A-1 : Mortier d'excellente qualité,A-1：高品質接着材の製作
294,A-1: Nutrient Supplements,A-1: Nährstoff-Regulierungsmittel,A-1 : Médicaments pour nutrition équilibrée,A-1：栄養調整剤の製作
295,A-1: Cafeteria Goods,A-1: Speisesaal-Besteck,A-1 : Vaisselle de cuisine pour cantine,A-1：食堂用食器類の製作
296,A-1: Lunar Seafood Processing,A-1: Wasserprodukte-Inspektion,A-1 : Traitement expérimental de produits aquatiques séléniens,A-1：月面水産物の加工検証
297,A-2: Emergency Potables,A-2: Notvorrats-Getränke,A-2 : Boissons de réserve,A-2：備蓄用飲料の製作
298,A-2: Cosmetic Research Materials,A-2: Unterstützung für Kosmetikartikel,A-2 : Recherche sur les produits de maquillage,A-2：化粧品製作の研究支援
299,A-2: Replica Ornamental Plants,A-2: Zierpflanzen-Nachbildungen,A-2 : Reproduction de plantes décoratives,A-2：観葉調度品の再現
300,A-2: Artisan's Mixtures,A-2: Handwerker-Mischungen,A-2 : Médicaments pour artisans,A-2：職人用調合薬の製作
301,A-3: Rust Repellent,A-3: Rostschutzmittel,A-3 : Produits antirouille,A-3：防錆加工剤の製作
302,A-3: Stable Medicine,A-3: Lang haltbare Medikamente,A-3 : Conservateurs alimentaires,A-3：保存用薬品の製作
303,A-1: Natural Remedy Inspection I,A-1: Naturheilmittel-Inspektion I,A-1 : Préparation de remèdes expérimentaux,A-1：生薬の研究成果検証
304,A-2: Natural Remedy Inspection II,A-2: Naturheilmittel-Inspektion II,A-2 : Amélioration de remèdes expérimentaux,A-2：続・生薬の研究成果検証
305,A-1: Loporrit Habitat Improvements I,A-1: Loporrit-Wohnumfeldverbesserung I,A-1 : Préparation de finitions d'habitat pour Loporrite,A-1：レポリット向けの住環境改善試験
306,A-2: Loporrit Habitat Improvements II,A-2: Loporrit-Wohnumfeldverbesserung II,A-2 : Amélioration de finitions d'habitat pour Loporrite,A-2：続・レポリット向けの住環境改善試験
307,A-3: Loporrit Habitat Improvements III,A-3: Loporrit-Wohnumfeldverbesserung III,A-3 : Finitions d'habitat pour Loporrite,A-3：レポリット向けの住環境改善
308,A-2: Aquaculture Feed I,A-2: Weichfutter für Tierzüchtungen I,A-2 : Préparation de pâtées pour élevage,A-2：養殖用の練餌製作
309,A-3: Aquaculture Feed II,A-3: Weichfutter für Tierzüchtungen II,A-3 : Amélioration de pâtées pour élevage,A-3：続・養殖用の練餌製作
310,A-1: Nutrient Jelly Materials I,A-1: Nährreiche Geleegetränk-Zutaten I,A-1 : Préparation de boissons gélatineuses de haute qualité nutritive,A-1：高栄養価ゼリー飲料素材の製作
311,A-2: Nutrient Jelly Materials II,A-2: Nährreiche Geleegetränk-Zutaten II,A-2 : Amélioration de boissons gélatineuses de haute qualité nutritive,A-2：続・高栄養価ゼリー飲料素材の製作
312,A-3: Nutrient Jelly,A-3: Nährreiches Geleegetränk,A-3 : Boissons gélatineuses de haute qualité nutritive,A-3：高栄養価ゼリー飲料の製作
313,A-3: Dichromatic Compound I,A-3: Pleochrome Tinktur I,A-3 : Préparation de potions alchimiques multicolores,A-3：多色錬金薬の製作
314,A-3: Dichromatic Compound II,A-3: Pleochrome Tinktur II,A-3 : Amélioration de potions alchimiques multicolores,A-3：続・多色錬金薬の製作
315,A-3: Dichromatic Compound III,A-3: Pleochrome Tinktur III,A-3 : Perfectionnement de potions alchimiques multicolores,A-3：多色錬金薬の製作・最終工程
316,Standard Lubricant,Schmieröl,Huile multi-usage,汎用潤滑油の製作
317,Spice Processing,Gewürz-Verarbeitung,Traitement de condiments de produits récoltés,採集物の調味料加工
318,Building Adhesive,Baumaterial-Klebstoff,Colle de construction,建材用接着剤の製作
319,Aquatic Nutrient Concentrate,Meeresfrüchte-Nährwertverdichtung,Bouillons de produits aquatiques,水産物の栄養凝縮検証
320,Aquatic Ink,Unterwasser-Tinte,Encre aqueuse,水産性インクの製作
321,Medicated Feed Research,Unterstützung zur Medikamentenforschung,Recherche sur la médecine nutritive,薬餌製作研究の支援
322,Heat-resistant Lubricant,Hitzebeständiges Schmieröl,Huile thermorésistante,耐熱性潤滑油の製作
323,Nutrient-rich Foodstuffs,Nährstoffregulierende Lebensmittel,Aliments pour nutrition équilibrée,栄養調整食品の製作
324,Construction Paint,Baumaterial-Farbstoff,Peinture de construction,建材用塗料の製作
325,Portable Foodstuffs,Tragbare Mahlzeiten,Nourriture portable,携帯食料の製作
326,Nutrient-rich Seafood Processing,Nährreiche Meeresfrüchte,Traitement de produits de la mer de haute qualité nutritive,高栄養価水産食品の加工
327,Emergency Foodstuff Development,Notfall-Lebensmittel,Rations alimentaires d'urgence,非常用保存食品の開発
328,Essential Whole Meals,Notwendige Vollwertnahrung,Reproduction de repas complets essentiels,必須完全食の再現
329,Experimental Foodstuffs,Experimentelle Langzeitnahrung,Produits de nouvelle génération pour conservation,新型保存食の試験製作
330,Water-resistant Lubricant,Wasserabweisendes Schmieröl,Huile étanche,耐水性潤滑油の製作
331,Experimental Potables,Zukunfts-Getränk,Boissons de nouvelle génération,次世代飲料の試験製作
332,Launch Party Foodstuffs,Belohnungs-Mahlzeit,Cuisine de grâce,慰労料理の製作
333,Home-cooked Seafood Meal,Heimatliche Mahlzeit,Reproduction de nourriture typique aux ingrédients aquatiques séléniens,月面水産物を用いた郷土料理再現
334,Nutrient-rich Lunar Food,Mondprodukte-Nährwertregulierung,Produits récoltés séléniens pour nutrition équilibrée,月面採集物の栄養価調整
335,Bakery Inspection,Bäckereibau-Inspektion,Étude de fondation de boulangerie,パン工房設立検証
336,Mushroom Processing,Pilz-Verarbeitung,Traitement de préparations aux champignons,キノコの食用加工
337,A-1: Water-resistant Lubricant,A-1: Wasserabweisendes Schmieröl,A-1 : Huile étanche,A-1：耐水性潤滑油の製作
338,A-1: Stellar Adhesive,A-1: Hochwertiger Klebstoff,A-1 : Colle d'excellente qualité,A-1：高品質接着材の製作
339,A-1: Liquid Nutrient Supplements,A-1: Nahrungsergänzungsdrinks,A-1 : Ravitaillement en boissons revigorantes,A-1：栄養補給飲料の製作
340,A-1: Cafeteria Goods,A-1: Speisesaal-Besteck,A-1 : Petit déjeuner pour cantine,A-1：食堂用食器類の製作
341,A-1: Lunar Seafood Processing,A-1: Wasserprodukte-Inspektion,A-1 : Traitement expérimental de produits aquatiques séléniens,A-1：月面水産物の加工検証
342,A-2: Stable Food Mass Production,A-2: Langzeit-Lebensmittel-Massenproduktion,A-2 : Fabrication en série de nouveaux aliments pour conservation,A-2：新保存食の量産計画
343,A-2: Sharlayan Dish Inspection,A-2: Nachbildung sharlayanischer Gerichte,A-2 : Étude de reproduction de cuisine sharlayanaise,A-2：シャーレアン料理の再現検証
344,A-2: Simple Field Rations,A-2: Nachbildung einfacher Außennahrung,A-2 : Reproduction de cuisine rapide pour activités en extérieur,A-2：屋外向け簡易調理の再現
345,A-2: Portable Nutrients,A-2: Tragbare Nahrungsergänzungsmittel,A-2 : Revitalisants portables,A-2：携帯栄養剤の製作
346,A-3: Cured Seafood,A-3: Wasserprodukt-Räucherung,A-3 : Traitement de produits de la mer fumés,A-3：水産物の燻製加工
347,A-3: Cured Meat,A-3: Tierfleisch-Räucherung,A-3 : Traitement de viande animale fumée,A-3：動物肉の燻製加工
348,A-1: Worker's Banquet Preparation I,A-1: Arbeiter-Mahlzeitausgabe I,A-1 : Préparation d'en-cas pour ouvriers,A-1：作業員への炊き出し準備
349,A-2: Worker's Banquet Preparation II,A-2: Arbeiter-Mahlzeitausgabe II,A-2 : Amélioration d'en-cas pour ouvriers,A-2：続・作業員への炊き出し準備
350,A-1: Loporrit Dietary Improvement I,A-1: Loporrit-Ernährungsverbesserung I,A-1 : Préparation de régime adapté pour Loporrite,A-1：レポリット向けの食生活改善試験
351,A-2: Loporrit Dietary Improvement II,A-2: Loporrit-Ernährungsverbesserung II,A-2 : Amélioration de régime adapté pour Loporrite,A-2：続・レポリット向けの食生活改善試験
352,A-3: Loporrit Dietary Improvement III,A-3: Loporrit-Ernährungsverbesserung III,A-3 : Régime adapté pour Loporrite,A-3：レポリット向けの食生活改善
353,A-2: Aquaculture Feed I,A-2: Weichfutter für Tierzüchtungen I,A-2 : Préparation de pâtées pour élevage,A-2：養殖用の練餌製作
354,A-3: Aquaculture Feed II,A-3: Weichfutter für Tierzüchtungen III,A-3 : Amélioration de pâtées pour élevage,A-3：続・養殖用の練餌製作
355,A-1: Nutrient-rich Foodstuffs I,A-1: Nährreiche Lebensmittel I,A-1 : Préparation d'aliments de haute qualité nutritive,A-1：高栄養価食材の製作
356,A-2: Nutrient-rich Foodstuffs II,A-2: Nährreiche Lebensmittel II,A-2 : Amélioration d'aliments de haute qualité nutritive,A-2：続・高栄養価食材の製作
357,A-3: Nutrient-rich Foodstuffs III,A-3: Nährreiche Lebensmittel,A-3 : Aliments de haute qualité nutritive,A-3：高栄養価食品の製作
358,A-3: Whole Meals I,A-3: Vollwertnahrung I,A-3 : Préparation de repas complets,A-3：完全食の製作
359,A-3: Whole Meals II,A-3: Vollwertnahrung II,A-3 : Amélioration de repas complets,A-3：続・完全食の製作
360,A-3: Whole Meals III,A-3: Vollwertnahrung III,A-3 : Perfectionnement de repas complets,A-3：完全食の製作・最終工程
361,Hub Vicinity Survey,Bodenerforschung (Stationsumgebung),Étude géologique des alentours de la station,基地周辺の地質調査
362,Northwestern Vicinity Survey,Rohstoff-Erforschung (Nordwestliche Station),Étude des ressources au nord-ouest,基地北西部の資源調査
363,Productivity Review,Arbeitsstandardprüfung,Enquête sur les normes de travail,作業基準調査への協力
364,Hydrofication Materials,Experimentelle Wasseraufbereitungsstoffe,Matériaux d'essai pour la purification de l'eau,浄水機能試験素材の調達
365,Multi-purpose Plating Materials,Projektplatten (Materialien),Matériaux pour plaques multi-usage,汎用装甲板素材の採集
366,Air Filter Materials,Luftfilter (Materialien),Matériaux pour filtres à air,エアフィルター用素材の採集
367,Central Radius Survey,Boden-Unter<SoftHyphen/>such<SoftHyphen/>ung (Zentraler Radius),Étude géologique du secteur central,焦がれの入江内周部の地質調査
368,Metal Processing Materials,Veredelungs-Metalle,Métaux pour transformation,加工用金属材の採集
369,Heavy Plating Materials,Dicke Projektplatten (Materialien),Matériaux pour plaques épaisses,厚型装甲板素材の採集
370,Sustained Productivity Review,Erfolgssträhnen-Prüfung,Évaluation des méthodes de récolte en continu,連続採集技術の試験協力
371,Material Collection Appraisal,Stückzahl-Bonus-Prüfung,Évaluation des méthodes d'obtention de matériaux,素材獲得技術の試験協力
372,Additional Meteoric Deposits,Meteoreisen-Abbaugebiet-Erforschung,Nouveaux points de collecte de métaux météoritiques,隕鉄材の新採集場調査
373,Water Filter Materials,Wasserfilter (Materialien),Matériaux pour filtres à eau,水質フィルター用素材の採集
374,Outer Sector Survey,Boden-Unter<SoftHyphen/>such<SoftHyphen/>ung (Äußerer Radius),Étude géologique du secteur extérieur,焦がれの入江外周部の地質調査
375,Element-resistant Materials,Wasser- & Hitzefeste Materialien,Matériaux résistants à l'eau et à la chaleur,耐水・耐熱素材の採集
376,Light Plating Materials,Dünne Projektplatten (Materialien),Matériaux pour plaques fines,薄型装甲板素材の採集
377,Lunar Yellow Copper Ore,Mond-Kupferkies (Erfolgssträhne),Récolte continue de cuivre jaune sélénien,月黄銅鉱の連続採集
378,Technique Appraisal,Stückzahl-Bonus-Forschung,Programme de recherche des techniques,技術研究計画の発展
379,Energization Materials,Energiegenerator (Materialien),Matériaux pour générateurs d'énergie,エネルギー発生装置用の素材調達
380,Fine-grade Processing Materials,Präzise Veredelungsmaterialien,Matériaux pour transformation avancée,精密加工用素材の採集
381,Stellar Repair Materials,Hochwertige Reparaturmaterialien,Matériaux de haute qualité pour réparations,補修用の高品質素材
382,A-1: Alloy Processing Materials,A-1: Legierungsveredelung (Materialien),A-1 : Matériaux pour la fabrication d'alliages,A-1：合金加工用素材の採集
383,A-1: Crater Extraction,A-1: Einsenkungs-Abbau,A-1 : Matériaux des cratères,A-1：窪地地帯の採集作業
384,A-1: Special Plating Materials,A-1: Spezial-Panzerplatten (Materialien),A-1 : Matériaux pour plaques spéciales,A-1：特殊装甲板素材の採集
385,A-1: Lunar Chromite Ore,A-1: Mond-Chromeisen (Erfolgssträhne),A-1 : Récolte continue de chromite sélénienne,A-1：ムーンクロマイトの連続採集
386,A-1: Meteoric Deposits,A-1: Meteoreisen (Stückzahl-Bonus),A-1 : Techniques d'acquisition de fer météoritique,A-1：隕鉄材の獲得技術調査
387,A-2: Precise Survey,A-2: Präzise Bodenerforschung,A-2 : Étude géologique avancée,A-2：精密地質調査
388,A-2: Alchemical Refinement Materials,A-2: Alchemisten-Raffinationsmaterialien,A-2 : Extraction d'ingrédients d'alchimie pour éthérolyse,A-2：錬金薬用精選材の抽出
389,A-2: Southwestern Survey,A-2: Rohstoff-Erforschung (Südwestliches Sinus Ardorum),A-2 : Étude des ressources au sud-ouest,A-2：焦がれの入江南西部の資源量調査
390,A-2: Precise Lunar Nadir Survey,A-2: Präzise Erforschung (Lunarer Nadir),A-2 : Étude approfondie du Nadir lunaire,A-2：ルナ・ネイディアの精密調査
391,A-3: Rare Material Extraction,A-3: Seltene Rohstoffe,A-3 : Récupération de matériaux rares,A-3：希少素材の回収
392,A-3: Supplemental Processing Materials,A-3: Veredelungs-Hilfsstoffe,A-3 : Matériaux auxiliaires pour transformation,A-3：加工補助素材の採集
393,A-1: Hub Vicinity Gathering I,A-1: Neumaterial-Erforschung (Station),A-1 : Étude des ressources aux alentours de la station,A-1：基地周辺の新資源調査
394,A-2: Hub Vicinity Gathering II,A-2: Neumaterial-Erforschung (Station),A-2 : Étude des ressources aux alentours de la station,A-2：基地周辺の新資源調査
395,A-1: High-grade Energization Materials I,A-1: Hochleistungs-Energiegenerator (Materialien),A-1 : Matériaux pour générateurs à haute énergie,A-1：高エネルギー発生装置用素材の調達
396,A-2: High-grade Energization Materials II,A-2: Hochleistungs-Energiegenerator (Materialien),A-2 : Matériaux pour générateurs à haute énergie,A-2：高エネルギー発生装置用素材の調達
397,A-3: High-grade Energization Materials III,A-3: Hochleistungs-Energiegenerator (Materialien),A-3 : Matériaux pour générateurs à haute énergie,A-3：高エネルギー発生装置用素材の調達
398,A-2: Fine-grade Water Filter Materials I,A-2: Präzise Wasserfilter (Materialien),A-2 : Composants de filtre à eau avancé,A-2：精密水質フィルター用素材の採集
399,A-3: Fine-grade Water Filter Materials II,A-3: Präzise Wasserfilter (Materialien),A-3 : Composants de filtre à eau avancé,A-3：精密水質フィルター用素材の採集
400,A-1: Fine-grade Air Filter Materials I,A-1: Präzise Luftfilter (Materialien),A-1 : Composants de filtre à air avancé,A-1：精密エアフィルター用素材の採集
401,A-3: Fine-grade Air Filter Materials II,A-3: Präzise Luftfilter (Materialien),A-2 : Composants de filtre à air avancé,A-3：精密エアフィルター用素材の採集
402,A-2: Fine-grade Air Filter Materials III,A-2: Präzise Luftfilter (Materialien),A-3 : Composants de filtre à air avancé,A-2：精密エアフィルター用素材の採集
403,A-3: Folkloric Materials I,A-3: Almanachmaterialien-Erforschung I,A-3 : Matériaux de légende,A-3：伝承録級素材の採集調査
404,A-3: Folkloric Materials II,A-3: Almanachmaterialien-Erforschung II,A-3 : Matériaux de légende II,A-3：伝承録級素材の採集調査 II
405,A-3: Folkloric Materials III,A-3: Almanachmaterialien-Erforschung III,A-3 : Matériaux de légende III,A-3：伝承録級素材の採集調査 III
406,Hub Vicinity Survey,Boden-Unter<SoftHyphen/>such<SoftHyphen/>ung (Stationsumgebung),Étude des sols aux alentours de la station,基地周辺の地質調査
407,Eastern Vicinity Survey,Rohstoff-Erforschung (Östliche Station),Étude des ressources à l'est,基地東部の資源調査
408,Productivity Review,Arbeitsstandardprüfung,Enquête sur les normes de travail,作業基準調査への協力
409,Hydrofication Materials,Experimentelle Wasseraufbereitungsstoffe,Matériaux d'essai pour la purification de l'eau,浄水機能試験素材の調達
410,Multi-purpose Fiberboard Materials,Faserplatten (Materialien),Matériaux pour panneaux en fibre multi-usage,汎用繊維板素材の採集
411,Air Filter Materials,Luftfilter (Materialien),Matériaux pour filtres à air,エアフィルター用素材の採集
412,Central Radius Survey,Boden-Unter<SoftHyphen/>such<SoftHyphen/>ung (Zentraler Radius),Étude des sols du secteur central,焦がれの入江内周部の地質調査
413,Processing Fibers,Veredelungs-Fasern,Fibres pour transformation,加工用繊維の採集
414,Thin Fiberboard Materials,Dünne Faserplatten (Materialien),Matériaux pour panneaux en fibre fins,薄型繊維板素材の採集
415,Sustained Productivity Review,Erfolgssträhnen-Prüfung,Évaluation des méthodes de récolte en continu,連続採集技術の試験協力
416,Material Collection Appraisal,Stückzahl-Bonus-Prüfung,Évaluation des méthodes d'obtention de matériaux,素材獲得技術の試験協力
417,Branch Collection,Äste-Sammelgebiet-Erforschung,Nouveaux points de collecte de branchages,枝材の新採集場調査
418,Water Filter Materials,Wasserfilter (Materialien),Matériaux pour filtres à eau,水質フィルター用素材の採集
419,Outer Sector Survey,Boden-Erforschung (Äußerer Radius),Étude des sols du secteur extérieur,焦がれの入江外周部の地質調査
420,Insulation Materials,Wärmeisolierende Materialien,Matériaux résistants à la chaleur,断熱素材の採集
421,Thick Fiberboard Materials,Dicke Faserplatten (Materialien),Matériaux pour panneaux en fibre épais,厚型繊維板素材の採集
422,Blue Fiber Collection Appraisal,Blaufasern (Erfolgssträhne),Récolte continue de fibre bleue,青繊維材の連続採集
423,Technique Appraisal,Stückzahl-Bonus-Forschung,Programme de recherche des techniques,技術研究計画の発展
424,Energization Materials,Energiegenerator (Materialien),Matériaux pour générateurs d'énergie,エネルギー発生装置用の素材調達
425,Fine-grade Processing Materials,Präzise Veredelungsmaterialien,Matériaux pour transformation avancée,精密加工用素材の採集
426,Stellar Repair Materials,Hochwertige Reparaturmaterialien,Matériaux de haute qualité pour réparations,補修用の高品質素材
427,A-1: Tanning Agents,A-1: Prototypen-Gerbmaterialien,A-1 : Nouveaux matériaux de tannerie,A-1：新型なめし材の採集
428,A-1: Experimental Cultivars,A-1: Experimentelles Vegetationsgebiet,A-1 : Végétation de la zone expérimentale,A-1：植生実験地帯の採集作業
429,A-1: Fiberboard Materials,A-1: Faserplatten (Materialien),A-1 : Matériaux pour panneaux en fibre,A-1：繊維板素材の採集
430,A-1: Fungi Collection,A-1: Mond-Fungi (Erfolgssträhne),A-1 : Récolte continue de champignons séléniens,A-1：月面菌類の連続採集
431,A-1: Fiber Collection Appraisal,A-1: Rohfasern (Stückzahl-Bonus),A-1 : Techniques d'acquisition de fibre,A-1：繊維材の獲得技術調査
432,A-2: Precise Survey,A-2: Präzise Bodenerforschung,A-2 : Étude des sols avancée,A-2：精密地質調査
433,A-2: Alchemical Refinement Materials,A-2: Alchemisten-Raffinationsmaterialien,A-2 : Extraction d'ingrédients d'alchimie pour éthérolyse,A-2：錬金薬用精選材の抽出
434,A-2: Southwestern Survey,A-2: Rohstoff-Erforschung (Südwestliches Sinus Ardorum),A-2 : Étude des ressources au sud-ouest,A-2：焦がれの入江南西部の資源量調査
435,A-2: Precise Lunar Nadir Survey,A-2: Präzise Erforschung (Lunarer Nadir),A-2 : Étude approfondie du Nadir lunaire,A-2：ルナ・ネイディアの精密調査
436,A-3: Rare Material Extraction,A-3: Seltene Rohstoffe,A-3 : Récupération de matériaux rares,A-3：希少素材の回収
437,A-3: Supplemental Processing Materials,A-3: Veredelungs-Hilfsstoffe,A-3 : Matériaux auxiliaires pour transformation,A-3：加工補助素材の採集
438,A-1: Hub Vicinity Gathering I,A-1: Neumaterial-Erforschung (Station),A-1 : Étude des ressources aux alentours de la station,A-1：基地周辺の新資源調査
439,A-2: Hub Vicinity Gathering II,A-2: Neumaterial-Erforschung (Station),A-2 : Étude des ressources aux alentours de la station,A-2：基地周辺の新資源調査
